time, Quad.Est.E.Pos, Quad.Est.S.Z
3.184952,0.101816,0.426223
3.189951,0.101600,0.426544
3.194951,0.101284,0.427038
3.199950,0.101086,0.427375
3.204950,0.098726,0.424487
3.209950,0.098333,0.424698
3.214949,0.097812,0.425021
3.219949,0.097458,0.425242
3.224949,0.096965,0.425583
3.229948,0.096641,0.425816
3.234948,0.096165,0.426174
3.239948,0.095860,0.426420
3.244947,0.095411,0.426798
3.249947,0.095072,0.427056
3.254946,0.094609,0.427454
3.259946,0.094253,0.427727
3.264946,0.093759,0.428146
3.269945,0.093465,0.428433
3.274945,0.092977,0.428875
3.279945,0.092644,0.429177
3.284944,0.092150,0.429642
3.289944,0.091821,0.429960
3.294944,0.091323,0.430450
3.299943,0.091055,0.430785
3.304943,0.068402,0.427920
3.309942,0.068078,0.428128
3.314942,0.067630,0.428449
3.319942,0.067391,0.428669
3.324941,0.066994,0.429007
3.329941,0.066714,0.429238
3.334941,0.066310,0.429593
3.339940,0.066088,0.429837
3.344940,0.065743,0.430212
3.349940,0.065488,0.430468
3.354939,0.065163,0.430863
3.359939,0.065045,0.431133
3.364938,0.064809,0.431549
3.369938,0.064663,0.431834
3.374938,0.064490,0.432272
3.379937,0.064441,0.432572
3.384937,0.064363,0.433034
3.389937,0.064261,0.433349
3.394936,0.064217,0.433835
3.399936,0.064225,0.434167
3.404936,0.078423,0.431325
3.409935,0.078475,0.431532
3.414935,0.079023,0.431850
3.419935,0.079444,0.432068
3.424934,0.080053,0.432403
3.429934,0.080476,0.432632
3.434933,0.081140,0.432985
3.439933,0.081572,0.433227
3.444933,0.082268,0.433598
3.449932,0.082760,0.433853
3.454932,0.083505,0.434245
3.459932,0.084026,0.434513
3.464931,0.084822,0.434926
3.469931,0.085373,0.435208
3.474931,0.086219,0.435643
3.479930,0.086790,0.435941
3.484930,0.087677,0.436399
3.489929,0.088273,0.436712
3.494929,0.089194,0.437194
3.499929,0.089837,0.437524
3.504928,0.088496,0.434703
3.509928,0.088857,0.434908
3.514928,0.089490,0.435224
3.519927,0.089924,0.435440
3.524927,0.090570,0.435773
3.529927,0.090994,0.436000
3.534926,0.091626,0.436350
3.539926,0.092080,0.436590
3.544925,0.092740,0.436959
3.549925,0.093171,0.437211
3.554925,0.093836,0.437600
3.559924,0.094274,0.437866
3.564924,0.094942,0.438276
3.569924,0.095392,0.438556
3.574923,0.096067,0.438988
3.579923,0.096536,0.439283
3.584923,0.097227,0.439738
3.589922,0.097697,0.440049
3.594922,0.098403,0.440527
3.599921,0.098859,0.440854
3.604921,0.111086,0.438055
3.609921,0.111477,0.438258
3.614920,0.112014,0.438572
3.619920,0.112362,0.438786
3.624920,0.112935,0.439116
3.629919,0.113328,0.439342
3.634919,0.113935,0.439690
3.639919,0.114352,0.439927
3.644918,0.114991,0.440294
3.649918,0.115407,0.440544
3.654917,0.116062,0.440930
3.659917,0.116500,0.441194
3.664917,0.117172,0.441601
3.669916,0.117647,0.441879
3.674916,0.118351,0.442307
3.679916,0.118835,0.442600
3.684915,0.119569,0.443052
3.689915,0.120057,0.443360
3.694915,0.120812,0.443835
3.699914,0.121320,0.444160
3.704914,0.083051,0.441381
3.709913,0.082857,0.441583
3.714913,0.082595,0.441894
3.719913,0.082432,0.442107
3.724912,0.082168,0.442435
3.729912,0.081992,0.442659
3.734912,0.081730,0.443004
3.739911,0.081555,0.443240
3.744911,0.081294,0.443603
3.749911,0.081129,0.443852
3.754910,0.080875,0.444235
3.759910,0.080708,0.444497
3.764910,0.080460,0.444901
3.769909,0.080287,0.445177
3.774909,0.080038,0.445602
3.779908,0.079865,0.445893
3.784908,0.079612,0.446341
3.789908,0.079449,0.446647
3.794907,0.079198,0.447118
3.799907,0.079031,0.447441
3.804907,0.089561,0.444682
3.809906,0.089473,0.444883
3.814906,0.089346,0.445192
3.819906,0.089267,0.445403
3.824905,0.089156,0.445728
3.829905,0.089085,0.445950
3.834904,0.088987,0.446293
3.839904,0.088926,0.446527
3.844904,0.088841,0.446888
